fold,best_params,best_score_innerCV,r2_no_AD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'max_depth': 99, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 730}",0.62433158430999,0.5897070652729026,0.6865440805026757,0.6010197454353898,182,182,107,152,0,75,30
2,"{'max_depth': 40, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 101}",0.641251361280656,0.47311592293846516,0.778096175532187,0.5893013203951304,182,182,114,152,0,68,30
3,"{'max_depth': 39, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 7380}",0.6157060635642105,0.5899307911005944,0.6731007175868506,0.5929556393485274,182,182,124,153,0,58,29
4,"{'max_depth': 80, 'min_samples_leaf': 3, 'min_samples_split': 14, 'n_estimators': 358}",0.5923143784492406,0.6640237881381393,0.6907631011324625,0.6721274219175015,181,181,118,157,0,63,24
5,"{'max_depth': 27, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 1059}",0.5845847814571111,0.7116141524135409,0.7736206251745199,0.772333458010031,181,181,114,147,0,67,34
6,"{'max_depth': 12, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 694}",0.6244698172341544,0.5905866788942793,0.686765315815746,0.6016775040788942,182,182,107,152,0,75,30
7,"{'max_depth': 13, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 715}",0.6406889404327376,0.4798926164275732,0.7765988344298606,0.5964245197174725,182,182,114,152,0,68,30
8,"{'max_depth': 19, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 926}",0.6146650436094374,0.5899490873722979,0.6728086249905962,0.594891623147913,182,182,124,153,0,58,29
9,"{'max_depth': 15, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 643}",0.5906588355688878,0.6702339545745712,0.6964467191975943,0.6774543111413287,181,181,118,157,0,63,24
10,"{'max_depth': 14, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 886}",0.5837932730828546,0.7107105190001091,0.7733381197924838,0.7712254957738357,181,181,114,147,0,67,34
11,"{'max_depth': 12, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 389}",0.622185559958474,0.5903300465555028,0.6888200101266588,0.6034011099074387,182,182,107,152,0,75,30
12,"{'max_depth': 13, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 84}",0.6414444241712518,0.478382625385984,0.7811331338679679,0.5950334228088174,182,182,114,152,0,68,30
13,"{'max_depth': 18, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 312}",0.6112850989111347,0.5929477927338761,0.6748284745845338,0.593786861597529,182,182,124,153,0,58,29
14,"{'max_depth': 13, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 91}",0.5924561148206293,0.66631269040636,0.6964416637932842,0.6722877554685122,181,181,118,157,0,63,24
15,"{'max_depth': 17, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 444}",0.5831717200135833,0.7106643170465914,0.7766719664065795,0.7711401515911829,181,181,114,147,0,67,34
16,"{'max_depth': 82, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1056}",0.6237405039679033,0.5901794029924667,0.6849034024855163,0.5999637539117406,182,182,107,152,0,75,30
17,"{'max_depth': 36, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 7655}",0.6410438968780408,0.4824411243140465,0.7798961728644241,0.6018185283056118,182,182,114,152,0,68,30
18,"{'max_depth': 39, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 7380}",0.6157060635642105,0.5899307911005944,0.6731007175868506,0.5929556393485274,182,182,124,153,0,58,29
19,"{'max_depth': 94, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 8087}",0.591565980349098,0.6691404002618001,0.6944717366599189,0.6755277850361808,181,181,118,157,0,63,24
20,"{'max_depth': 36, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 7655}",0.5836868776478358,0.7103629232318336,0.7721538550430315,0.7718659275947218,181,181,114,147,0,67,34
