nb_neurones,alpha,activation,hidden_layer_sizes,learning_rate_init,no_AD,strict,soft
100,0.0001002239679114,relu,"(17, 17, 17, 17, 16, 16)",0.0072174484524447,0.6082366909605557,0.7134065901815676,0.6536290914514908
2000,6.235377135673157e-05,relu,"(250, 250, 250, 250, 250, 250, 250, 250)",1.138463970530464e-05,0.6022627954062383,0.7348134085096656,0.6632920281994821
5000,0.0369986792048908,relu,"(2500, 2500)",0.0002513701074476,0.599838587294064,0.7306282328399268,0.6599499601298038
1000,0.0005421044225547,relu,"(100, 100, 100, 100, 100, 100, 100, 100, 100, 100)",2.059802236544964e-05,0.6131988760987096,0.7280259814429985,0.662757907261549
50,7.602635868455898e-05,relu,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0.0011178209200698,0.6098573662642911,0.7043219552839382,0.6471173184955404
200,1.9870215385428627e-05,relu,"(29, 29, 29, 29, 28, 28, 28)",0.0004938623547724,0.5876567284473605,0.7288924819184228,0.6529201353595642
10,0.00187600682203,tanh,"(4, 3, 3)",0.0035101887722336,0.6090048462222428,0.70581285577167,0.6481804079738513
2000,0.0369986792048908,relu,"(1000, 1000)",0.0002513701074476,0.6017126502842642,0.728694798852732,0.659842120135695
500,0.0050438303217933,relu,"(56, 56, 56, 56, 56, 55, 55, 55, 55)",2.8437674894443664e-05,0.6208286456280047,0.7213949187807102,0.6612844962413033
1000,0.0027928965107992,relu,"(100, 100, 100, 100, 100, 100, 100, 100, 100, 100)",1.048912959181851e-05,0.6054096987566172,0.7042848700596869,0.647785188865047
50,0.0003807158379249,tanh,"(13, 13, 12, 12)",0.0024637685958997,0.6133332894366935,0.7144845874449689,0.6485551157899849
5000,0.0728665373749104,relu,"(2500, 2500)",0.0003480695326785,0.5923444380354645,0.7139662261137143,0.6515531230915955
100,0.0876197110102369,tanh,"(15, 15, 14, 14, 14, 14, 14)",0.0048813751916036,0.5828054497966504,0.6788894759300258,0.6249369288747562
2000,0.0027928965107992,relu,"(200, 200, 200, 200, 200, 200, 200, 200, 200, 200)",1.048912959181851e-05,0.598256209365951,0.7333720487855137,0.657276229692526
5000,0.0153522469419734,relu,"(625, 625, 625, 625, 625, 625, 625, 625)",0.0024810409748678,0.5688722908816861,0.7081363508790003,0.6336946569726543
200,0.0011040511903162,tanh,"(23, 23, 22, 22, 22, 22, 22, 22, 22)",0.0008696007095406,0.5954623357725943,0.6963664578991198,0.6357438558755044
100,0.0003975977214318,relu,"(34, 33, 33)",0.0003387255565852,0.5994650928230265,0.7240484382140511,0.6589475248816463
200,0.0110443508471246,relu,"(20, 20, 20, 20, 20, 20, 20, 20, 20, 20)",8.789004341405474e-05,0.5979527986568833,0.7103195403952263,0.6484527091001817
50,0.0153522469419734,relu,"(7, 7, 6, 6, 6, 6, 6, 6)",0.0024810409748678,0.602240705455301,0.7108352872641589,0.6426925883581208
100,0.0001219471523337,relu,"(20, 20, 20, 20, 20)",0.0006746222278126,0.6016316112096437,0.7258597737231763,0.6565902988076673
10000,0.0001219471523337,relu,"(2000, 2000, 2000, 2000, 2000)",0.0006746222278126,0.5696120920560392,0.7070878071450888,0.6349670283462294
200,0.0061385099478448,tanh,"(34, 34, 33, 33, 33, 33)",0.0002741350741975,0.6046997937465638,0.6999879729378502,0.6413967768036453
100,0.0002023778954048,tanh,"(15, 15, 14, 14, 14, 14, 14)",0.0012115379992469,0.5983711245553687,0.7000945162627501,0.638318133115966
1000,0.0009925982828198,relu,"(250, 250, 250, 250)",1.251018885016443e-05,0.6095214565926923,0.7201119567566288,0.6593109315439252
50,1.6096330648219375e-05,tanh,"(13, 13, 12, 12)",0.0004419932329566,0.6098651572731683,0.7095375189908506,0.6477827987684232
10000,1.5519027787994336e-05,relu,"(1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000)",0.0002653937643936,0.5494792084962851,0.696189246814276,0.6106747689261978
10,0.0007606809457649,tanh,"(5, 5)",0.0034207303670092,0.594080579336286,0.6924477535643508,0.637744431658822
2000,0.0003010355768674,relu,"(2000,)",0.0081821115186184,0.5794277133435758,0.6966205643887434,0.636242040230937
200,0.0007284371265166,relu,"(34, 34, 33, 33, 33, 33)",0.0023085168151108,0.574648543462161,0.7123322151866808,0.6368823429648535
5000,0.0003807158379249,tanh,"(1250, 1250, 1250, 1250)",0.0024637685958997,0.5783797277969855,0.6889332695577939,0.628608485710502
2000,1.97778285124627e-05,relu,"(286, 286, 286, 286, 286, 285, 285)",0.0040207595487498,0.559281133805641,0.6958355831645856,0.6250649441916291
1000,1.795698422567761e-05,relu,"(143, 143, 143, 143, 143, 143, 142)",0.0047354909465785,0.5675825875179012,0.699837532467725,0.6271359315584236
10000,0.0007606809457649,tanh,"(5000, 5000)",0.0034207303670092,0.5553626035950342,0.6624739383864059,0.6017670092610071
