nb_neurones,alpha,activation,hidden_layer_sizes,learning_rate_init,no_AD,strict,soft,no_AD_sd,strict_sd,soft_sd
200,0.0369986792048908,relu,"(100, 100)",0.0002513701074476,0.6018078270670452,0.7228187974144851,0.6567916821393767,0.06754039344467798,0.048595571485410965,0.05074495193344887
200,0.0728665373749104,relu,"(100, 100)",0.0003480695326785,0.6025240551091479,0.7222523806296302,0.6582726244732429,0.06616841384794624,0.048068040767989276,0.05189641934285983
50,1.795698422567761e-05,relu,"(8, 7, 7, 7, 7, 7, 7)",0.0047354909465785,0.5901618863631098,0.6939062522101587,0.6358826290700705,0.06073727672298695,0.052106783797980595,0.04969734762629365
5000,7.602635868455898e-05,relu,"(500, 500, 500, 500, 500, 500, 500, 500, 500, 500)",0.0011178209200698,0.5622002093352012,0.7066218887438435,0.6244692420395923,0.07560587089423411,0.06131290977270991,0.06060520663117881
500,0.0040536387047423,relu,"(56, 56, 56, 56, 56, 55, 55, 55, 55)",5.054765477258722e-05,0.6106979166326357,0.7248551741871073,0.6575242325541646,0.06674905313194172,0.043626874308910255,0.05086611540370756
1000,0.0005421044225547,relu,"(100, 100, 100, 100, 100, 100, 100, 100, 100, 100)",2.059802236544964e-05,0.6131988760987096,0.7280259814429985,0.662757907261549,0.06916958761464134,0.04980429638236671,0.0510669910616581
100,0.0067209300501561,relu,"(34, 33, 33)",0.0144777863069286,0.572391065500764,0.6987354543410312,0.6316439362895241,0.07073772708073726,0.05613297596797849,0.05772776229096674
200,0.0005019072833961,tanh,"(34, 34, 33, 33, 33, 33)",0.0015375920235481,0.5948988507211407,0.6937526572595784,0.6324587852163672,0.06200523615506196,0.055110677706967655,0.055429672998186755
50,7.602635868455898e-05,relu,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0.0011178209200698,0.6098573662642911,0.7043219552839382,0.6471173184955404,0.06093339855797127,0.047562346989360384,0.05286430279005432
100,1.5519027787994336e-05,relu,"(10, 10, 10, 10, 10, 10, 10, 10, 10, 10)",0.0002653937643936,0.5954794458244217,0.693278881144025,0.6399170483079577,0.060107834830914614,0.061750526204779735,0.05823307055295019
50,1.9870215385428627e-05,relu,"(8, 7, 7, 7, 7, 7, 7)",0.0004938623547724,0.5900893329587849,0.6791920058520725,0.6266755258108939,0.06428847393222159,0.054875903843058196,0.055315306950479065
2000,0.0009925982828198,relu,"(500, 500, 500, 500)",1.251018885016443e-05,0.6020328247520484,0.7361670099715198,0.6635496146810331,0.07380570496068573,0.04777424540300202,0.05245904486329263
10,0.00187600682203,tanh,"(4, 3, 3)",0.0035101887722336,0.6090048462222428,0.70581285577167,0.6481804079738513,0.05815247564871127,0.051232604532281616,0.052037072802277526
200,0.0110443508471246,relu,"(20, 20, 20, 20, 20, 20, 20, 20, 20, 20)",8.789004341405474e-05,0.5979527986568833,0.7103195403952263,0.6484527091001817,0.06567852688912279,0.05788163121841903,0.05401128654233126
1000,4.809461967501571e-05,relu,"(143, 143, 143, 143, 143, 143, 142)",1.1299516083106612e-05,0.6014181143890567,0.7136123059920741,0.6539786713687624,0.06877658398544961,0.053317230736698334,0.05408026736500091
100,0.0369986792048908,relu,"(50, 50)",0.0002513701074476,0.5991234224832179,0.7133490800081376,0.6527242078464367,0.0680949172759456,0.050679158883958804,0.04972155363413708
2000,0.0027928965107992,relu,"(200, 200, 200, 200, 200, 200, 200, 200, 200, 200)",1.048912959181851e-05,0.598256209365951,0.7333720487855137,0.657276229692526,0.06894898462732249,0.046874325675996975,0.051049554135635895
10,0.0007606809457649,tanh,"(5, 5)",0.0034207303670092,0.594080579336286,0.6924477535643508,0.637744431658822,0.05870639543150985,0.055395121533865235,0.055585656434085286
50,1.007198483880919e-05,tanh,"(10, 10, 10, 10, 10)",0.0029507066707905,0.5948927199953689,0.7036351623735121,0.6397594319844258,0.061688361334675416,0.05339021664170749,0.05121771339064714
100,0.0014071153761525,tanh,"(20, 20, 20, 20, 20)",0.0012273630375458,0.602489726188691,0.7070600276722029,0.644722663454163,0.05921024392115789,0.053839545915916186,0.053018101944001896
10000,1.97778285124627e-05,relu,"(1429, 1429, 1429, 1429, 1428, 1428, 1428)",0.0040207595487498,0.5499497739006004,0.7109551049594315,0.6252832851840315,0.08029383931800703,0.059346564588429435,0.05988558188933218
500,0.0050438303217933,relu,"(56, 56, 56, 56, 56, 55, 55, 55, 55)",2.8437674894443664e-05,0.6208286456280047,0.7213949187807102,0.6612844962413033,0.06624697948287955,0.047705571078419,0.05244206434583269
10000,0.0020305586522289,relu,"(10000,)",6.039096247545784e-05,0.5861216378245153,0.6935481113501833,0.6352731958295326,0.07144330015363852,0.054520628000307526,0.05753344695329048
5000,0.0011040511903162,tanh,"(556, 556, 556, 556, 556, 555, 555, 555, 555)",0.0008696007095406,0.5740497061184358,0.6581678197637446,0.6055483834300293,0.0635004034130763,0.062158421642680546,0.06315670568172597
5000,0.0020305586522289,relu,"(5000,)",6.039096247545784e-05,0.5753949876616499,0.6549548510285027,0.6119593287745704,0.061742679926761176,0.05258301346328932,0.05607107408433737
5000,1.5519027787994336e-05,relu,"(500, 500, 500, 500, 500, 500, 500, 500, 500, 500)",0.0002653937643936,0.5634849187149618,0.7200165536830037,0.6384233323822354,0.07808355184347572,0.05518718261817001,0.061301725993652384
2000,0.0423949147386976,relu,"(2000,)",8.160948743089913e-05,0.5754116726271785,0.6517044844339995,0.6102739641742694,0.061525154986265145,0.052475867202594846,0.05578292963566557
10000,0.0006071989493441,relu,"(1429, 1429, 1429, 1429, 1428, 1428, 1428)",1.7073967431528103e-05,0.5843083258175914,0.734276149143162,0.6561319738542218,0.06789381206528687,0.05073960429226719,0.05047967082833018
1000,0.0027928965107992,relu,"(100, 100, 100, 100, 100, 100, 100, 100, 100, 100)",1.048912959181851e-05,0.6054096987566172,0.7042848700596869,0.647785188865047,0.0645822513773808,0.05472075957850596,0.05531577713690491
200,0.0014648457497911,relu,"(20, 20, 20, 20, 20, 20, 20, 20, 20, 20)",0.0001075886630676,0.5986303719640492,0.7181109763141069,0.6530823728565361,0.06565548076474798,0.0558858770418895,0.05551170301756356
10,0.0011619873314872,tanh,"(4, 3, 3)",0.0151615910756717,0.600984181975913,0.6995515193733184,0.642244658049636,0.05717244206437207,0.05089755526252081,0.050566645472118685
10000,0.0003666421832063,tanh,"(5000, 5000)",0.0044677528179739,0.5534265076030285,0.6525707701677197,0.5976965128030644,0.06374179114560662,0.05067001837134737,0.06239334303496008
100,6.849752356701299e-05,tanh,"(17, 17, 17, 17, 16, 16)",0.0002720114122032,0.5888947911711995,0.700640982317024,0.6336086890504817,0.058367220087065755,0.05379897986622318,0.05277623384988232
50,1.97778285124627e-05,relu,"(8, 7, 7, 7, 7, 7, 7)",0.0040207595487498,0.5904462337977744,0.6883785524661894,0.634145774903972,0.06393315991560576,0.05644957296803042,0.057834178235765074
5000,1.4942218644908236e-05,relu,"(1000, 1000, 1000, 1000, 1000)",0.0341960614682704,0.20614910688322646,0.2753577126658898,0.27387310901047696,0.9923408518917893,0.980648312398535,0.8879832926602431
2000,0.0001534760363311,relu,"(200, 200, 200, 200, 200, 200, 200, 200, 200, 200)",0.0173961674228469,0.5404323650710476,0.628773556536277,0.5871450907716531,0.07261461075593074,0.10083645565312242,0.07063958492846986
